Marker Name,Accession,Code.Class,FC1D4.001.B2W2,FC1D4.002.B2W4,FC1D4.004.B1W1,FC1D4.007.B1W1,FC1D4.008.B4W1,FC1D4.010.B1W1,FC1D4.012.B1W1,FC1D4.013.B4W1,FC1D4.015.B2W2,FC1D4.016.B2W4,FC1D4.018.B2W2,FC1D4.020.B2W2,FC2D4.001.B2W4,FC2D4.003.B1W1,FC2D4.006.B1W1,FC2D4.007.B2W4,FC2D4.009.B1W1,FC2D4.011.B1W1,FC2D4.012.B4W1,FC2D4.014.B1W1,FC2D4.015.B2W4,FC2D4.017.B1W1,FC2D4.018.B2W4,FC2D4.020.B2W4,FC3D5.001.B4W1,FC3D5.003.B2W4,FC3D5.006.B2W2,FC3D5.008.B1W1,FC3D5.009.B2W2,FC3D5.011.B2W2,FC3D5.013.B1W1,FC3D5.014.B2W2,FC3D5.015.B4W1,FC3D5.017.B2W2,FC3D5.019.B2W2,FC3D5.021.B1W1,FC4D5.002.B2W2,FC4D5.003.B4W1,FC4D5.006.B2W4,FC4D5.008.B2W2,FC4D5.009.B2W4,FC4D5.011.B2W4,FC4D5.013.B2W2,FC4D5.014.B2W4,FC4D5.016.B1W1,FC4D5.017.B2W4,FC4D5.019.B2W4,FC4D5.021.B2W2,FC5D5.002.B4W1,FC5D5.004.B2W2,FC5D5.006.B4W1,FC5D5.008.B2W4,FC5D5.009.B4W1,FC5D5.011.B4W1,FC5D5.013.B2W4,FC5D5.015.B1W1,FC5D5.016.B2W2,FC5D5.018.B1W1,FC5D5.020.PRE,FC5D5.021.B2W4
AGER,NM_001136.3,Endogenous,7.31732216,9.391329526,7.784569416,7.207795263,8.618936044,7.573647187,7.339404658,6.774128144,7.367108924,8.130158673,7.406162479,7.975102789,7.875227153,7.114367025,8.199672345,7.699468346,7.748729567,7.621832103,7.484540972,7.593054922,7.472731449,7.672849602,8.140574178,7.374604819,7.662347939,6.887159677,7.071676874,7.954079959,7.640461867,7.29351763,7.984475425,7.335658323,7.624174022,7.300947363,7.829215325,7.670514628,8.521050737,8.932864335,7.468827655,7.636479619,8.7669595,7.293241719,7.864000378,7.147306699,7.984076615,9.661617789,7.661564349,8.199328805,8.24598046,7.814806743,7.732608394,9.444766441,7.861707287,7.616475329,8.156234798,7.625781889,8.022201339,7.684538249,7.830356747,7.096346199
ALOX12,NM_000697.1,Endogenous,2.885574364,2.114367025,3.070389328,2.61117238,2.477677328,4.72900887,2.895302621,3.566815154,4.383358695,2.503348735,4.408032466,2.625270489,2.86393845,2.671293372,4.826802684,3.357552005,4.040892431,3.363171077,2.831877241,4.121844298,4.375039431,3.970853654,4.642701572,3.541019153,2.845991771,2.855989697,3.816599707,3.667892125,3.252476214,2.475084883,2.891419187,3.738767837,2.845991771,3.929790998,3.173127433,4.377123749,3.508428653,3.675815931,5.397118409,3.247927513,3.250961574,3.193771743,4.023255352,4.284662185,2.687060688,4.990501111,4.831370588,5.293149737,3.814550423,3.061776198,3.901108243,4.399854674,3.997292408,3.198494154,3.294253136,4.335569006,3.339137385,3.070389328,5.307428525,2.715893371
ALOX15,NM_001140.3,Endogenous,3.489286023,3.838951767,4.285402219,2.61117238,3.966245873,3.564378169,4.432959407,4.503984704,4.143230135,3.748461233,4.065227623,4.360364277,4.6622055,4.958378712,5.394719913,4.591559746,4.631686366,4.851998837,4.418864577,4.5360529,3.901108243,4.980939266,6.144862143,4.147306699,3.099295204,3.880685525,3.519793486,3.403267722,3.469885976,3.10433666,3.346247774,2.841973119,4.354028938,4.047887329,3.752748591,4.56924803,5.544423562,5.78633498,5.158660175,4.352617299,5.956056652,4.257010618,5.346247774,4.193771743,5.534808661,5.683134985,5.441616269,5.698774109,4.70763522,4.054848477,4.269781238,6.607922067,4.08491466,3.488000771,4.302319051,4.682573297,4.396433531,4.814037648,4.292045492,3.440952198
ALOX5,NM_000698.2,Endogenous,7.860093742,9.262423761,8.927274264,7.500084988,6.264348763,7.72369507,6.179112901,8.116603883,8.517118185,8.435753591,9.066331414,6.573950084,7.657068301,7.796948107,10.31240652,8.583195621,7.87835751,8.0519702,7.316326792,8.057666877,7.555202634,8.904724928,9.676732846,6.453682186,7.819987442,9.084542674,8.09423607,7.032100843,7.511515479,7.882398504,8.327058563,8.145932146,6.091699834,9.427585223,8.265099288,9.310362844,8.873659424,9.94525361,8.65158991,8.112230972,7.788946667,8.271836493,8.074676686,8.306107271,8.87369018,9.475632115,8.302364751,8.909083028,8.079004695,8.333289548,7.94128241,8.387414242,6.951750965,8.749266084,8.358651201,8.947344717,9.032018168,8.466463984,8.15010267,6.445097638
AREG,NM_001657.2,Endogenous,7.106013238,6.229587923,7.585938995,6.68846014,7.632631752,8.575728316,8.097821455,8.551362204,6.198297695,5.169524197,7.156234798,5.869871406,9.503627006,8.504540947,7.868884273,6.776498832,5.63691458,6.373996142,6.864928972,6.534497434,6.020368851,7.231029129,9.609880519,5.007644031,8.13442632,6.486231678,7.532472817,6.789859641,7.119356177,7.830356747,6.180903709,8.577542124,5.607330314,7.027905997,5.814294058,7.203201156,7.161786932,7.394805642,8.865547703,8.007139425,6.709979832,7.276496666,6.433960931,5.477029653,6.070818638,9.900051666,4.651912745,6.799346388,7.926414608,7.304602303,8.359969132,7.687480667,6.319401167,9.062262053,6.597829098,6.314696526,5.676662335,7.195052257,6.575312331,4.828834649
ARG1,NM_000045.2,Endogenous,3.64385619,3.9202933,3.440952198,3.313245852,3.341985747,4.399854674,3.982765463,5.067810784,4.510329019,4.297191417,4.065227623,4.684818738,4.830863757,5.007644031,5.081510068,4.901590992,3.815575429,4.893362211,4.851499202,4.950468414,4.009884589,5.188638295,6.272209861,4.375734539,3.410069692,3.458119481,3.816599707,3.667892125,3.568032105,2.970853654,3.883620816,4.077242999,3.298658316,4.524189078,4.01346226,3.891419187,4.958842675,5.274261661,4.038260575,4.264536431,4.282439805,3.95419631,3.344828497,4.527946099,5.185073638,4.710944155,5.064796646,6.351557662,3.176322773,3.473786912,3.982765463,5.217230716,3.168321116,4.116863758,5.09000653,5.003602237,4.396433531,4.682011391,4.292045492,3.495695163
ATF2,NM_001880.2,Endogenous,9.988457473,10.55089105,9.867958222,10.02811327,10.24665748,10.02419776,9.878924544,9.97958239,9.788359449,9.999436337,9.948367232,9.669505174,10.10857673,9.686903165,10.20271156,10.26247074,10.00643829,9.911571752,9.940372332,9.985187311,10.03658575,9.792172096,10.02346329,9.760803098,9.994183698,9.947490835,9.789615151,10.02386522,10.05663772,9.861412639,9.921364918,9.906514845,9.944155663,10.04316403,9.820178962,9.890811455,10.22723085,10.39231742,9.954647082,9.817319467,9.965091625,9.980710829,9.854603501,9.869732631,9.929657869,10.78951734,9.853465514,10.09844009,10.02577631,9.699537752,9.955969502,10.64739546,10.04190551,10.10173936,10.0254995,9.853387537,9.773913932,9.976363636,9.793424485,9.616089314
BCL2L1,NM_138578.1,Endogenous,9.919682718,9.757189968,9.528219666,9.935223994,10.12792986,10.29057185,9.926459086,9.762581361,9.926859322,9.042945232,9.781490862,9.728362723,10.69924276,10.00922679,10.71859281,10.56832668,10.03779402,10.17983447,9.554799869,10.21812727,9.560619434,9.790185563,10.25210953,9.600526229,9.832684352,9.995922575,9.987377718,9.860000598,9.717093744,10.1471922,9.868560223,10.3678297,9.396347899,9.586670932,9.625526212,9.92644426,9.945326777,10.67193906,10.70665142,10.05823531,10.38233222,9.833743989,9.444828546,10.02809945,9.271136167,9.799427341,9.444994147,9.731454808,9.906920651,9.397439334,10.05617706,10.02624677,9.827247421,9.88648918,9.717196587,10.03905612,9.189033824,10.269454,9.896559463,9.12649799
BCL6,NM_001706.2,Endogenous,7.132576843,8.057396116,7.839959587,7.405481882,8.595257481,8.663664835,8.067004043,9.323887927,7.795325387,7.201633861,7.714863683,7.404460384,8.030446439,7.521207816,8.073391816,8.13868138,6.975905274,7.917312401,7.960639126,7.449066085,8.116655862,7.804969929,8.651374646,6.990728004,8.120237877,6.96127604,7.135760581,8.139755975,7.673697747,7.612205037,7.994919089,7.485185284,8.330782459,7.719594172,7.326968712,7.613384311,7.97819563,8.410578549,7.645946582,8.204228769,8.515818087,7.806710718,7.234194723,7.275007047,7.532550739,8.987605102,7.588564737,8.022201339,8.386940245,7.270715808,7.708739041,8.976707312,7.355086762,8.053925882,7.7465815,8.183585761,7.327148408,7.266130621,7.529118164,6.77925972
BIRC2,NM_001166.3,Endogenous,11.14013317,10.82214059,11.00945775,11.00966769,10.72459059,11.1913307,10.90165132,10.24107746,11.05341006,11.11761713,11.06582674,10.85118684,10.79663182,11.041269,11.01050013,10.89686215,11.28414741,11.03159094,10.91902717,11.1492708,11.19666974,10.96384255,10.6329316,10.75362626,11.11794174,11.01014343,11.10170654,11.14820963,11.30046124,11.00480333,11.32828784,11.32376411,11.07045642,11.00478928,11.16178063,11.16693508,11.09523217,10.24884077,10.93603424,11.05755858,10.25731712,10.92390682,11.25431413,11.0041432,11.15923434,10.04470831,11.2189688,11.17398313,10.95813217,11.09684031,11.23723984,10.24525558,11.30015233,11.1965468,11.20798433,11.071221,11.16900424,10.9862047,10.97017062,10.51859415
